seed,alpha,class_zero_nonconformity_quantile,class_one_nonconformity_quantile
11,0.1,0.012769394457528449,0.9827285559429954
23,0.1,0.004923967941017127,0.9675179704608982
42,0.1,0.003569669303548406,0.9904690169742877
67,0.1,0.0024740437437335006,0.9760271645650112
101,0.1,0.0161742210937601,0.9702876352925537
