policy,coverage_mean,coverage_std,deferral_rate_mean,deferral_rate_std,selective_accuracy_mean,selective_accuracy_std,selective_risk_mean,selective_risk_std,system_accuracy_assuming_correct_review_mean,system_accuracy_assuming_correct_review_std,automatic_failure_recall_mean,automatic_failure_recall_std,reference_errors_deferred_mean,reference_errors_deferred_std,mean_decision_cost_mean,mean_decision_cost_std
Calibrated XGBoost — no defer,1.0,0.0,0.0,0.0,0.9893333333333333,0.002160246899469314,0.010666666666666666,0.002160246899469287,0.9893333333333333,0.002160246899469314,0.8196078431372549,0.05783482825001031,0.0,0.0,0.1272,0.03902534788797889
Proposed Mondrian conformal defer,0.8945333333333334,0.018692838795170263,0.10546666666666667,0.01869283879517026,0.9936058139768301,0.0019127036134698383,0.0063941860231698485,0.001912703613469861,0.9942666666666666,0.0018012341448141805,0.8196078431372549,0.05783482825001031,0.4587944219523167,0.13371597379913278,0.08126666666666667,0.006166216199763215
