seed,alpha,empirical_set_coverage,empirical_class_zero_coverage,empirical_class_one_coverage,mean_prediction_set_size,singleton_rate,empty_set_rate,ambiguous_set_rate
11,0.02,0.9726666666666667,0.9723947550034506,0.9803921568627451,1.1846666666666668,0.8153333333333334,0.0,0.18466666666666667
11,0.05,0.9553333333333334,0.9544513457556936,0.9803921568627451,1.1673333333333333,0.8326666666666667,0.0,0.16733333333333333
11,0.1,0.892,0.8888888888888888,0.9803921568627451,0.976,0.976,0.024,0.0
11,0.15,0.856,0.8543823326432022,0.9019607843137255,0.8833333333333333,0.8833333333333333,0.11666666666666667,0.0
11,0.2,0.808,0.8060731538992408,0.8627450980392157,0.812,0.812,0.188,0.0
23,0.02,0.962,0.9606625258799172,1.0,1.4713333333333334,0.5286666666666666,0.0,0.4713333333333333
23,0.05,0.9266666666666666,0.9240855762594893,1.0,1.4353333333333333,0.5646666666666667,0.0,0.43533333333333335
23,0.1,0.8666666666666667,0.8640441683919945,0.9411764705882353,0.918,0.918,0.082,0.0
23,0.15,0.8226666666666667,0.8191856452726018,0.9215686274509803,0.8553333333333333,0.8553333333333333,0.14466666666666667,0.0
23,0.2,0.782,0.782608695652174,0.7647058823529411,0.7853333333333333,0.7853333333333333,0.21466666666666667,0.0
42,0.02,0.9813333333333333,0.9806763285024155,1.0,1.714,0.286,0.0,0.714
42,0.05,0.9493333333333334,0.9475500345065563,1.0,1.6813333333333333,0.31866666666666665,0.0,0.6813333333333333
42,0.1,0.894,0.8916494133885439,0.9607843137254902,0.9653333333333334,0.9653333333333334,0.034666666666666665,0.0
42,0.15,0.8566666666666667,0.8530020703933747,0.9607843137254902,0.8933333333333333,0.8933333333333333,0.10666666666666667,0.0
42,0.2,0.8013333333333333,0.7977915804002761,0.9019607843137255,0.8106666666666666,0.8106666666666666,0.18933333333333333,0.0
67,0.02,0.986,0.9868875086266391,0.9607843137254902,1.17,0.83,0.0,0.17
67,0.05,0.94,0.9392684610075914,0.9607843137254902,1.1226666666666667,0.8773333333333333,0.0,0.12266666666666666
67,0.1,0.896,0.8971704623878537,0.8627450980392157,0.93,0.93,0.07,0.0
67,0.15,0.85,0.8502415458937198,0.8431372549019608,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.0
67,0.2,0.7953333333333333,0.7950310559006211,0.803921568627451,0.8006666666666666,0.8006666666666666,0.19933333333333333,0.0
101,0.02,0.9773333333333334,0.9765355417529331,1.0,1.2893333333333334,0.7106666666666667,0.0,0.28933333333333333
101,0.05,0.9606666666666667,0.9592822636300897,1.0,1.272,0.728,0.0,0.272
101,0.1,0.914,0.9144237405106971,0.9019607843137255,0.9713333333333334,0.9713333333333334,0.028666666666666667,0.0
101,0.15,0.8673333333333333,0.8668046928916494,0.8823529411764706,0.8966666666666666,0.8966666666666666,0.10333333333333333,0.0
101,0.2,0.8166666666666667,0.8164251207729468,0.8235294117647058,0.8206666666666667,0.8206666666666667,0.17933333333333334,0.0
