metric,estimate,ci_lower_95,ci_upper_95
coverage,0.8923013333333333,0.8766666666666667,0.9076833333333333
selective_risk,0.0044660627486875415,0.0014853049702657714,0.00819413650527325
system_accuracy_assuming_correct_review,0.9960146666666666,0.9926666666666667,0.9986666666666667
proposed_mean_cost,0.07072933333333332,0.05115833333333333,0.10603333333333331
baseline_mean_cost,0.09685333333333333,0.042666666666666665,0.17768333333333333
cost_reduction_vs_baseline,0.026124,-0.02733333333333333,0.09387499999999996
