alpha,empirical_set_coverage_mean,empirical_set_coverage_std,empirical_class_zero_coverage_mean,empirical_class_zero_coverage_std,empirical_class_one_coverage_mean,empirical_class_one_coverage_std,mean_prediction_set_size_mean,mean_prediction_set_size_std,singleton_rate_mean,singleton_rate_std,empty_set_rate_mean,empty_set_rate_std,ambiguous_set_rate_mean,ambiguous_set_rate_std
0.02,0.9758666666666667,0.0091821082062406,0.9754313319530711,0.009840117942104973,0.9882352941176471,0.01753778805882187,1.3658666666666668,0.22878733453677988,0.6341333333333333,0.2287873345367799,0.0,0.0,0.3658666666666667,0.2287873345367799
0.05,0.9464,0.013437923119953411,0.944927536231884,0.01387489704113483,0.9882352941176471,0.01753778805882187,1.3357333333333332,0.22758373306446036,0.6642666666666667,0.22758373306446036,0.0,0.0,0.33573333333333333,0.2275837330644604
0.1,0.8925333333333334,0.016914162376212703,0.8912353347135955,0.01815189176785093,0.9294117647058824,0.04722193952467563,0.9521333333333335,0.02630335846744036,0.9521333333333335,0.02630335846744036,0.04786666666666667,0.026303358467440363,0.0,0.0
0.15,0.8505333333333333,0.01678226577207157,0.8487232574189096,0.0176921410011476,0.9019607843137255,0.043844470147054705,0.8790666666666667,0.01766729558628974,0.8790666666666667,0.01766729558628974,0.12093333333333334,0.01766729558628975,0.0,0.0
0.2,0.8006666666666667,0.013106402167558344,0.7995859213250517,0.012627702428138229,0.8313725490196079,0.052977474847475704,0.8058666666666667,0.013494031602485912,0.8058666666666667,0.013494031602485912,0.19413333333333332,0.013494031602485924,0.0,0.0
